Team,SLELO
Abilene Christian,-0.8180142982864788
Air Force,-1.0462565563220172
Akron,1.2285985414319693
Alabama,6.919078013179074
Alabama A&M,-4.160454443389176
Alabama State,-3.4462715102865444
Albany (NY),-2.4637061705196563
Alcorn State,-3.1109500968286117
American,-2.8585049714444666
Appalachian State,1.5446842613082032
Arizona,7.473403515055731
Arizona State,2.2693760434714925
Arkansas,2.3519880293586155
Arkansas State,-0.7465192941189434
Arkansas-Pine Bluff,-4.102260546735018
Army,-4.138366135926823
Auburn,6.627414239426135
Austin Peay,-1.8674445263848098
Ball State,-1.5152371114854293
Baylor,6.414863914464391
Bellarmine,-3.084349991770695
Belmont,1.2765151823901582
Bethune-Cookman,-4.130779423759051
Binghamton,-2.7610523178781894
Boise State,4.712776136566088
Boston College,2.296083038745625
Boston University,-2.656788152522294
Bowling Green State,-1.6678350244712008
Bradley,3.058777132830023
Brigham Young,5.50428729536067
Brown,-1.4229933204875578
Bryant,-0.9692272170623928
Bucknell,-2.5709563961575035
Buffalo,-3.8390270234815955
Butler,3.621079370952346
Cal Poly,-3.7666018057568476
Cal State Bakersfield,-1.51211520191213
Cal State Fullerton,-1.03114548594478
Cal State Northridge,-1.620459597442169
California,1.0845111153212055
California Baptist,-0.05237094339321631
Campbell,-2.4797290933447433
Canisius,-2.119689530772317
Central Arkansas,-4.475863806583013
Central Connecticut State,-2.770163674698862
Central Michigan,-2.4637967808614314
Charleston Southern,-3.796436584268471
Charlotte,1.0903651050960963
Chattanooga,0.35065211658078255
Chicago State,-20.0
Cincinnati,4.186331159084387
Clemson,4.8649416508086905
Cleveland State,-0.573267872320661
Coastal Carolina,-2.788743449309795
Colgate,0.24312727463367773
College of Charleston,1.6037746737694212
Colorado,4.580343659263053
Colorado State,4.120031143299419
Columbia,-2.310965335939261
Connecticut,7.7640616408376095
Coppin State,-6.313652753870851
Cornell,0.23846631925364795
Creighton,6.571142690065709
Dartmouth,-4.12050608843899
Davidson,1.5991668823925367
Dayton,4.2793924470525075
Delaware,-0.6724968702376333
Delaware State,-3.945208404874748
Denver,-2.1431512013789473
DePaul,-1.6538120647391317
Detroit Mercy,-4.21420708367266
Drake,3.389845880133284
Drexel,0.37503453418474375
Duke,6.171188374634487
Duquesne,1.9388427165198672
East Carolina,0.11928188803588777
East Tennessee State,-1.3211007270480524
Eastern Illinois,-3.5655311555731144
Eastern Kentucky,-1.1114506188227176
Eastern Michigan,-3.7252854901108687
Eastern Washington,-0.1273449495522502
