Team,SLELO
Abilene Christian,-0.8289175088379996
Air Force,-1.0323885706927385
Akron,1.2744165035275952
Alabama,6.65144527538355
Alabama A&M,-3.8665626658121623
Alabama State,-3.43680162626911
Albany (NY),-2.4046864509446513
Alcorn State,-3.1949450056734885
American,-2.845308086362249
Appalachian State,1.3750740686109908
Arizona,7.144563255265317
Arizona State,2.014106447176537
Arkansas,2.3403687035775635
Arkansas State,-0.610631921541865
Arkansas-Pine Bluff,-4.140081092812584
Army,-4.09679441448941
Auburn,6.730026238657489
Austin Peay,-1.8934486750399206
Ball State,-1.5195434031096642
Baylor,6.205331245744446
Bellarmine,-3.0939220683813384
Belmont,1.2424829252216272
Bethune-Cookman,-4.04017986729838
Binghamton,-2.8608547736286267
Boise State,4.6547508182295205
Boston College,2.562669424643491
Boston University,-2.651946447669645
Bowling Green State,-1.6843393055216263
Bradley,3.0226175391579093
Brigham Young,5.416623010142776
Brown,-1.2681273479562676
Bryant,-0.7924529701006251
Bucknell,-2.533712183816693
Buffalo,-3.8466564086056185
Butler,3.6225246962837074
Cal Poly,-3.6558817226055407
Cal State Bakersfield,-1.6039812600653471
Cal State Fullerton,-0.9435647416692676
Cal State Northridge,-1.5665640747107896
California,1.0482309097125964
California Baptist,-0.21674897325961673
Campbell,-2.6680316471668806
Canisius,-2.194167256020616
Central Arkansas,-4.472754530517887
Central Connecticut State,-2.8562086439075407
Central Michigan,-2.536474298222246
Charleston Southern,-3.8200957340149793
Charlotte,1.0661879973012973
Chattanooga,0.3911914478805359
Chicago State,-19.0
Cincinnati,4.459498910322851
Clemson,4.581238030286326
Cleveland State,-0.5025209804833859
Coastal Carolina,-2.810984114282279
Colgate,0.30383899048643015
College of Charleston,1.8008031878673156
Colorado,4.767483627802486
Colorado State,4.1036151610723826
Columbia,-2.3883459535970637
Connecticut,7.857347753430314
Coppin State,-6.414588545541184
Cornell,0.42450700048000534
Creighton,6.442032403884978
Dartmouth,-4.096300670919269
Davidson,1.363302202331123
Dayton,4.1914650118309975
Delaware,-0.6049748977369377
Delaware State,-3.701448723255198
Denver,-2.069158832480112
DePaul,-1.5375850830308413
Detroit Mercy,-4.206713404396286
Drake,3.4997959935819374
Drexel,0.31440553747142425
Duke,5.993487785727798
Duquesne,2.0151803213311217
East Carolina,0.008632773957046855
East Tennessee State,-1.158627762712026
Eastern Illinois,-3.5797180332762584
Eastern Kentucky,-1.1135749841587181
Eastern Michigan,-3.7376060197134096
Eastern Washington,-0.2029269086006921
Elon,-3.4829441155764083
Evansville,-1.6975139633316159
Fairfield,-0.7442111728439353
FDU,-19.0
Florida,4.628627084993849
Florida A&M,-4.908968038414708
Florida Atlantic,4.561338639861367
Florida Gulf Coast,-1.5019202988561555
Florida International,-1.9514907721440744
