Team,SLELO
Abilene Christian,-0.7091346653385702
Air Force,-0.6109931973288315
Akron,-2.285645804071595
Alabama,6.699239519343603
Alabama A&M,-3.480071452208916
Alabama State,-6.807186981185087
Albany (NY),-0.6788434620056834
Alcorn State,-4.563309282561614
American,-4.181731483944827
Appalachian State,-0.5840722992271259
Arizona,6.888497724314799
Arizona State,2.378987333356229
Arkansas,4.308264664705513
Arkansas State,-0.7667693094452858
Arkansas-Pine Bluff,-1.5318652175652132
Army,-4.619368740892049
Auburn,5.633500037208001
Austin Peay,-1.0134272717582005
Ball State,3.3989239517391123
Baylor,8.164272681474525
Bellarmine,-3.804556271843789
Belmont,3.591850073588466
Bethune-Cookman,-2.9531773199233893
Binghamton,-2.681432272417584
Boise State,0.45957628367148606
Boston College,3.501313843699508
Boston University,-1.9431753334755266
Bowling Green State,0.7115981980520444
Bradley,-4.629711021013935
Brigham Young,3.271902597140214
Brown,-0.8155096896930583
Bryant,-4.452326082818223
Bucknell,-3.7137113857369584
Buffalo,-0.945376841202897
Butler,1.5377306626197158
Cal Poly,-0.396614202496795
Cal State Bakersfield,-3.5676516100790043
Cal State Fullerton,-1.8943251774368897
Cal State Northridge,-4.725865309429917
California,5.161822058190675
California Baptist,1.1512511623715478
Campbell,-1.8070842471582917
Canisius,-3.724688525086738
Central Arkansas,-0.921327854652985
Central Connecticut State,-6.114030775150038
Central Michigan,-4.336122406241047
Charleston Southern,-5.222501037623024
Charlotte,1.11691459230184
Chattanooga,1.3804665870939636
Chicago State,-19.0
Cincinnati,2.7835645031274385
Clemson,3.709272411976859
Cleveland State,3.846704377537644
Coastal Carolina,-1.6023019771049245
Colgate,-1.7713924954212399
College of Charleston,-0.624231944852556
Colorado,8.740594231126863
Colorado State,2.4291452031271157
Columbia,5.002273861950678
Connecticut,11.222229963510884
Coppin State,-3.3913923060636977
Cornell,-3.3889091958982034
Creighton,7.475614286890917
Dartmouth,-5.409462457133038
Davidson,2.5918178489025867
Dayton,-2.055023749211076
Delaware,-1.4457674208453706
Delaware State,-7.5348278030990095
Denver,-2.587769121595365
DePaul,2.8945324607646103
Detroit Mercy,-2.8340490752415786
Drake,4.49153663944079
Drexel,-0.37815726438851943
Duke,7.952643566108289
Duquesne,1.400582429828979
East Carolina,2.436583737235633
East Tennessee State,-1.0788152394552506
Eastern Illinois,-2.3610848237282847
Eastern Kentucky,-0.586461920572228
Eastern Michigan,-4.259719143197012
Eastern Washington,2.203163135093397
Elon,-3.7502120110662505
Evansville,-4.796523644370426
Fairfield,1.2700461397964973
FDU,-19.0
Florida,5.032962371227629
Florida A&M,-4.731083491019454
Florida Atlantic,-0.9690043927062424
Florida Gulf Coast,5.5168383416776505
Florida International,-0.5191665492952015
Florida State,6.313775735372611
Fordham,0.04830854380549232
Fresno State,-1.292651762573447
Furman,-3.4344307375242398
Gardner-Webb,-5.3014170919287995
George Mason,2.836391176795789
George Washington,-0.8069553158317632
Georgetown,3.0408396870664016
Georgia,3.7855018908966502
Georgia Southern,-1.4284738394020173
Georgia State,-1.2654677961994245
Georgia Tech,3.9516331610325373
Gonzaga,8.27330938900176
Grambling,-2.080425911490002
Grand Canyon,2.3472924641829236
Green Bay,4.635824659727121
Hampton,-5.123727990009846
Harvard,2.5683470423641457
Hawaii,1.0899833037748834
High Point,-2.896828787611467
Hofstra,-4.19040147809126
Holy Cross,-1.3460018547260082
Houston,3.179998837150751
Houston Christian,-19.0
Howard,-2.148233553981116
Idaho,-0.7619807381092564
Idaho State,-1.5566125350340103
Illinois,5.806629636082404
Illinois State,1.8317145087994735
Illinois-Chicago,0.19002581627284032
Incarnate Word,-2.0882736674094455
Indiana,9.362586824729776
Indiana State,-2.1927510157900416
Iona,-3.7658265200504997
Iowa,11.090377591010574
Iowa State,7.220777978618643
IUPUI,-2.6365643236028338
Jackson State,1.8432212493745768
Jacksonville,-2.671352399364673
Jacksonville State,-2.296960315304842
James Madison,1.803682052986294
Kansas,6.653429293792896
Kansas City,-19.0
Kansas State,8.07632448953035
Kennesaw State,-3.441576030830595
Kent State,1.3175618451242508
Kentucky,1.9141467893410542
La Salle,-2.7800061221645262
Lafayette,-5.2957726681107005
Lamar,0.35644615398079993
Le Moyne,-19.0
Lehigh,-2.387701875407638
Liberty,0.9830083351633123
Lindenwood,-5.361561857170118
Lipscomb,-1.1753038181941768
Little Rock,-19.0
Long Beach State,-0.36836414278187846
Long Island University,-7.420680874307575
Longwood,-6.0593893429252645
Louisiana,-19.0
Louisiana State,9.70962305126532
Louisiana Tech,-0.2147189339226802
Louisiana-Monroe,-1.0628465866066268
Louisville,7.739418081454851
Loyola (IL),-0.4058243760160063
Loyola (MD),-4.0977568048463
Loyola Marymount,-1.496054532497971
Maine,1.0098680835318476
Manhattan,-2.6210986022499294
Marist,-4.871643952248538
Marquette,6.129030821224273
Marshall,2.8152258942665553
Maryland,7.106113735969084
Maryland-Baltimore County,-4.287028757398965
Maryland-Eastern Shore,-2.987397756101574
Massachusetts,-2.0356582459586603
Massachusetts-Lowell,-5.493148107502517
McNeese State,-7.120838783172375
Memphis,2.1087846006650213
Mercer,-0.560361489267821
Merrimack,-5.368118616708177
Miami (FL),5.572007134481047
Miami (OH),-3.387207552627845
Michigan,6.362350656457203
Michigan State,7.6043479650547185
Middle Tennessee,5.883160512078173
Milwaukee,-1.2058521316213362
Minnesota,4.4239966549964755
Mississippi,7.095444687650686
Mississippi State,6.021591557111957
Mississippi Valley State,-7.303594194749319
Missouri,3.8137639373295698
Missouri State,1.6836144962962978
Monmouth,-0.5154012126279063
Montana,1.8585092245933623
Montana State,1.103993393425798
Morehead State,-2.7925414593384312
Morgan State,-4.8720015905675
Mount St. Mary's,-4.040570341222442
Murray State,1.735528435302768
Navy,-5.390778138546798
NC State,-19.0
Nebraska,7.098745459497249
Nevada,-0.6632890523234319
Nevada-Las Vegas,5.961259878829
New Hampshire,-4.747239386711064
New Mexico,0.7708881368875369
New Mexico State,-0.9652173755074783
New Orleans,-3.589334379133676
Niagara,-1.7053204537664017
Nicholls State,-3.8354190751977306
NJIT,-4.514724038425376
Norfolk State,0.9794140140306979
North Alabama,-3.2187579558991217
North Carolina,6.612525336729263
North Carolina A&T,-0.27677421802743524
North Carolina Central,-4.97803523113631
North Dakota,-2.971433439462599
North Dakota State,1.366050864761013
North Florida,-4.3864039897468485
North Texas,2.3040098829603886
Northeastern,-3.8791865548021502
Northern Arizona,1.1548616282088924
Northern Colorado,-0.7338358703699805
Northern Illinois,-2.0450267792697137
Northern Iowa,2.9426129513050574
Northern Kentucky,-1.585944898492147
Northwestern,0.42050464680333377
Northwestern State,-3.885771694584033
Notre Dame,9.395210142105253
Oakland,-2.8676659485907487
Ohio,-3.289569900367698
Ohio State,9.490083266032446
Oklahoma,7.222457651376648
Oklahoma State,5.243200395980601
Old Dominion,1.2446942758139232
Omaha,-19.0
Oral Roberts,0.3077272748438173
Oregon,3.912036801614592
Oregon State,7.9530831096070616
Pacific,0.9119012037834857
Penn State,6.625871315762569
Pennsylvania,-0.023427991066939657
Pepperdine,-4.0294971195211104
Pittsburgh,1.0626445632538086
Portland,2.3792557989000382
Portland State,-4.155053434313767
Prairie View,-4.980812683356401
Presbyterian,-4.811133824020298
Princeton,5.68946893263864
Providence,1.6729048931560058
Purdue,4.637666601513848
Purdue Fort Wayne,-19.0
Queens (NC),-6.376967771881028
Quinnipiac,-3.250154755297367
Radford,-4.2667440396756415
Rhode Island,3.1536559630975893
Rice,2.182437470404321
Richmond,4.362758439960362
Rider,-5.894814869017301
Robert Morris,-5.0517459696043066
Rutgers,0.9534453439095664
Sacramento State,-2.5627269198434957
Sacred Heart,-2.5975802554722573
Saint Francis (PA),-9.070762584695673
Saint Joseph's,3.8303363051438417
Saint Louis,0.7292198346234168
Saint Mary's (CA),-0.4854654554019043
Saint Peter's,-7.1373820900281455
Sam Houston,-19.0
Samford,-3.0427051089703445
San Diego,0.024205841121296867
San Diego State,0.8553876128401653
San Francisco,0.8349058683981163
San Jose State,-3.0850112490902246
Santa Clara,3.1878848613242416
Seattle,-3.9496876951369404
